"brandName","branchName","longitude","latitude","cityName"
AI CHA,AI-CHA TAL,0.00000000,0.00000000,Jakarta Barat
AI CHA,Ai-CHA Phsar Ang Serey_Kampong Speu,106.82715280,-6.17539240,Jakarta Pusat
AI CHA,Ai-CHA Phsar Daeum Thkov,,,Jakarta Barat
AI CHA,Ai-CHA Norton,106.82715357,-6.17539235,Jakarta Pusat
AI CHA,Zhengda - Aeon Mall Sen Sok City,,,Jakarta Barat
Ai CHA Ice Cream and Tea,AICHA MOH KAHFI,106.81136970,-6.32519610,Jakarta Selatan
AI Toko Warkop,AI Toko Warkop,106.92571698,-6.23049610,Jakarta Timur
Ai-KA,Ai-Ka - Batavia PIK,106.73985272,-6.10225356,Jakarta Utara
Aimer cafe,Aimer Caffe,106.80121941,-6.35162871,Jakarta Selatan
Aini Cake,Aini Cake,106.78058580,-6.23659970,Jakarta Selatan
AKA,AKA,106.79591730,-6.28662680,Jakarta Selatan
AKA Bar,AKA Bar,106.79599560,-6.28086290,Jakarta Selatan
AKUANTON RESTO,AKUANTON RESTO,106.80729600,-6.22919680,Jakarta Selatan
Akurasa,Akurasa,106.82171790,-6.21438510,Jakarta Selatan
Aladin Boba Shake & Brew,Aladin Boba Shake & Brew,106.72497410,-6.26300970,Jakarta Selatan
Alamak Chicken,Alamak Chicken Timbul,106.80703520,-6.35103440,Jakarta Selatan
Alarasa,BrideStory,106.82291980,-6.19444910,Jakarta Selatan
Alarasa,Alarasa,106.82210700,-6.24053100,Jakarta Selatan
Alarasa,Alarasa Menara Karya Office,106.83320000,-6.22879000,Jakarta Selatan
Alba Ristorante,Alba Ristorante - Kuningan,106.82616710,-6.22621950,Jakarta Selatan
Alba Ristorante,Alba Ristaronte Summitmas,106.80484975,-6.22519951,Jakarta Selatan
Alend Roti Pisang Bakar,Alend Roti Pisang Bakar,106.76263147,-6.27390043,Jakarta Selatan
Alif's Coffee & Eatery,Alif's Coffee & Eatery,,,Jakarta Timur
Aljazeerah,Aljazeerah Foodcourt,106.82838563,-6.16820995,Jakarta Pusat
Aljazeerah,Aljazeerah Lounge,106.84018000,-6.19297200,Jakarta Pusat
Aljazeerah,Aljazeerah Polonia,106.87366777,-6.23557929,Jakarta Timur
Aljazeerah,Aljazeerah Polonia,106.87366777,-6.23557929,Jakarta Timur
Allcoco,ALLCOCO PURI,106.73877159,-6.18944837,Jakarta Barat
Allcoco,ALLCOCO SUNTER,106.86794478,-6.13756248,Jakarta Utara
Almaz Fried Chicken,Almaz Fried Chicken - Koja,106.91724988,-6.11308062,Jakarta Utara
Almaz Fried Chicken,Almaz Fried Chicken - PGC,106.86617396,-6.26221478,Jakarta Timur
Almaz Fried Chicken,Almaz Fried Chicken - Pondok Gede,106.90766031,-6.28462724,Jakarta Timur
Almaz Fried Chicken,Almaz Fried Chicken - Condet,106.85564000,-6.29359500,Jakarta Timur
Almaz Fried Chicken,Almaz Fried Chicken - Thamrin,106.81822891,-6.19387788,Jakarta Pusat
